timestamp,seg_id,street_name,speed,free_flow_speed,incident_type,severity,vehicle_count,direction,seg_start_lat,seg_start_lng,seg_end_lat,seg_end_lng,lat,lng
2024-03-15 08:00:00,SEG_0001,Gandhinagar-Sarkhej Highway,85,80,CLEAR,1,13,WESTBOUND,23.196425,72.62372,23.190113,72.610378,23.193269,72.617049
2024-03-15 08:00:00,SEG_0002,GH Road,50,55,CLEAR,1,31,SOUTHBOUND,23.241165,72.656544,23.240306,72.656015,23.240735,72.656279
2024-03-15 08:00:00,SEG_0003,GH-6 Circle,53,55,CLEAR,1,22,WESTBOUND,23.241165,72.656544,23.241232,72.656421,23.241198,72.656483
2024-03-15 08:00:00,SEG_0004,GH-6 Circle,52,55,CLEAR,1,21,NORTHBOUND,23.241232,72.656421,23.241443,72.656376,23.241338,72.656399
2024-03-15 08:00:00,SEG_0005,GH Road,60,55,CLEAR,1,27,SOUTHBOUND,23.228924,72.648899,23.228403,72.64855,23.228664,72.648725
2024-03-15 08:00:00,SEG_0006,Road 6,41,45,CLEAR,1,41,WESTBOUND,23.233329,72.675677,23.23332,72.672496,23.233324,72.674086
2024-03-15 08:00:00,SEG_0007,Road 6,46,45,CLEAR,1,11,EASTBOUND,23.238086,72.662747,23.237672,72.663521,23.237879,72.663134
2024-03-15 08:00:00,SEG_0008,GH Road,50,55,CLEAR,1,25,NORTHBOUND,23.197815,72.631314,23.20188,72.632111,23.199848,72.631712
2024-03-15 08:00:00,SEG_0009,GH Road,53,55,CLEAR,1,22,NORTHBOUND,23.205894,72.634353,23.20816,72.635707,23.207027,72.63503
2024-03-15 08:00:00,SEG_0010,Road 7,68,65,CLEAR,1,29,WESTBOUND,23.245825,72.668699,23.246571,72.667308,23.246198,72.668003
2024-03-15 08:00:00,SEG_0011,CH Road,40,45,CLEAR,1,43,NORTHBOUND,23.245825,72.668699,23.245909,72.668749,23.245867,72.668724
2024-03-15 08:00:00,SEG_0012,CH Road,43,45,CLEAR,1,36,SOUTHBOUND,23.245759,72.668804,23.241912,72.666396,23.243835,72.6676
2024-03-15 08:00:00,SEG_0013,Road 7,68,65,CLEAR,1,23,WESTBOUND,23.245759,72.668804,23.245825,72.668699,23.245792,72.668751
2024-03-15 08:00:00,SEG_0014,CH Road,43,45,CLEAR,1,30,SOUTHBOUND,23.245851,72.668859,23.245759,72.668804,23.245805,72.668831
2024-03-15 08:00:00,SEG_0015,Road 7,69,65,CLEAR,1,18,EASTBOUND,23.245851,72.668859,23.244122,72.67211,23.244986,72.670485
2024-03-15 08:00:00,SEG_0016,CHH Road,40,45,CLEAR,1,31,WESTBOUND,23.2257,72.665312,23.227415,72.662116,23.226557,72.663714
2024-03-15 08:00:00,SEG_0017,Road 7,66,65,CLEAR,1,20,WESTBOUND,23.260424,72.641405,23.260466,72.641335,23.260445,72.64137
2024-03-15 08:00:00,SEG_0018,Ka Road,64,65,CLEAR,1,16,SOUTHBOUND,23.260424,72.641405,23.259937,72.641075,23.260181,72.64124
